Mes,Turno,No_Colada,GPO_CH,TCM,No_Cargas,C_Arrabio,C_Primeras,C_Segundas,C_Triturado,C_Retornos,Cumpl_CM,Cons_Chorreadura,Cons_Ri,Rendimiento_Teo,Altura_Banda,Tiempo_Caida_Banda,TPQB,Rendimiento_Real,ENERGÍA,CONSUMO_C,O2_INSTANTANEO,O2_TCM,CONSUMO_CAL_SIDER,CONSUMO_CAL_DOLOM,BALANCE_02_C,VAC_TO_VAC,COBERTURA_DE_ARCO,POWER_ON,AUXILIARES,DEMORAS,POTENCIA,FACTOR_O2,VELOCIDAD_DE_FUSIÓN,TIEMPO_VACIADO,REMANENTE_HF,ACERO_VACIADO,O2_VACIADA,TON_Hr_ACERO LIQUIDO,TEMPERATURA_VACIADO,MgO_ESCORIA,FeO_ESCORIA,CaO,SiO2,Al2O3,IB3,IB4,RESULTADO,coladas ,TEMPERATURA
Marzo,1,48214,5,174.1100006,Hibrida,0,8.529090805,54.74125553,35.09275745,1.636896215,62.29129135,7.322956751,0,87.64275458,0,21,148.91136,85.53,364.7119624,12.71609897,143,28.86680824,15.50743777,18.72379524,2.270099368,173.1499939,67.55600476,34.98332977,7.69999981,130.4666596,108.0851059,3.236867,4976.941925,4.5,99,147,829,50.93849443,1603,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,49.23,48214,853
Marzo,1,48215,5,162.449997,1,0,9.048938135,48.96891351,34.27516159,7.706986765,75.44366028,0.831024931,0,89.07639274,0,23,151.52384,93.27,367.4976985,9.190520333,137,26.36503589,16.43582672,19.14435247,2.868720697,40.29999924,82.10982265,31.23333168,4.6500001,4.41666603,116.3616791,3.438353,5201.174137,2.8,78,149,906,221.8362325,1650,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,52.33,48215,671
Marzo,1,48216,5,164.5599976,1,0,8.629071463,47.05882353,36.09625668,8.215848323,75.90177995,7.863393291,0,88.38867282,0,34,148.91136,90.49,405.9309734,9.230675878,146,31.58118666,16.71123019,19.50656324,3.421329822,67.79999542,79.26311377,35.39999771,7.31666565,25.08333206,114.7328262,1.653485,4648.587802,4.1,140,146,590,129.2035486,1626,10.58,29.67,30.46,10.17,7.42,1.7317,2.33,37.65,48216,780
Marzo,1,48217,5,168.3099976,1,0,10.63513754,46.01627948,35.0305983,8.317984671,74.71565205,7.694135821,0,88.53413344,0,26,122.78656,72.95,360.6440549,7.004931478,150,27.38399422,16.51714123,19.07195084,3.909245123,43.5633316,86.69712722,30.70000076,12.86333275,0,119.3446045,3.560691,5482.410208,3.8,104,145,855,199.7092435,1636,9.24,32.88,27.99,10.71,6.53,1.6235,2.16,60.73,48217,849
Marzo,1,48218,5,168.3200073,1,0,0,56.44011407,34.93346008,8.626425856,96.06901634,7.545152091,0,87.93559886,0,26,229.89824,136.58,374.287056,8.899714442,151,28.5884018,15.68440996,18.47671022,3.212283044,82.0166626,83.10667539,31.75,5.63333273,44.6333313,118.8056412,2.93346,5301.417553,3.8,91,147,1153,107.5391234,1671,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,57.62,48218,889
Marzo,1,48219,5,169.1799927,1,0,0,55.10698664,37.12022698,7.772786381,98.56716843,7.270362927,0,87.89478662,0,25,96.66176,57.14,350.5142603,7.471332632,145,25.10935207,16.01844259,18.9738748,3.360759494,39.79999924,86.74275568,29.26666641,6.99999905,3.53333306,121.2265701,4.286679,5780.637614,4.3,76,145,1130,218.592969,1675,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,54.12,48219,833
Marzo,1,48220,5,169.199997,1,0,0,54.01891253,38.17966903,7.80141844,99.40242626,7.535460993,0,87.87056738,0,26,148.91136,88.01,327.4231738,9.219858322,148,23.9952723,16.54846366,18.97163155,2.602564103,37.53332901,87.05403349,27.33333206,6.28333187,3.91666603,121.3877182,5.448024,6190.244079,4,74,144,773,230.1954084,1632,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,70.59,48220,879
Marzo,1,48221,5,154.8000031,1,0,0,54.06976744,37.40310078,8.527131783,98.42367243,5.749354005,0,88.10723514,0,28,146.29888,94.51,406.3307413,8.029715604,149,30.17441801,17.63565857,20.09043888,3.757843926,86.1499939,88.55502008,31.28333282,6.94999981,47.91666412,121.0261993,1.717324,4948.321969,4.2,65,146,609,101.6831181,1628,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,50.1,48221,835
Marzo,1,48222,5,165.3999939,1,0,0,51.81378476,37.06166868,11.12454655,93.07904076,6.045949214,0,88.2853688,0,29,151.52384,91.61,371.8258904,6.493349695,157,29.09915464,16.74727994,19.40749769,4.481378026,39,87.80582656,30.63333321,5.89999962,2.46666598,119.8051987,2.96655,5399.346939,4.1,68,146,906,224.6153846,1662,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,53.33,48222,840
Marzo,1,48223,5,165.3999939,1,0,0,53.14389359,38.87545345,7.980652963,99.18416716,6.469165659,0,87.99153567,0,27,146.29888,88.45,376.6626499,6.263603617,148,27.8718269,16.38452297,19.40749769,4.44980695,41.39999771,85.93432032,31.11666489,5.81666565,4.46666574,120.3218765,2.923645,5315.479486,4,63,146,696,211.5942146,1616,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,Sin Análisis,34.42,48223,904
