Muestra1,Muestra2,Muestra3,Muestra4,Muestra5
1.909,1.917,1.865,1.991,1.906
1.957,1.829,1.87,1.917,1.971
1.861,1.946,1.903,1.951,1.893
1.938,1.913,1.884,1.907,1.95
1.941,1.966,1.935,1.936,1.955
2.032,1.914,1.911,1.82,1.932
1.889,1.963,1.943,1.918,1.911
1.891,1.978,1.907,1.922,1.908
1.929,1.87,1.943,1.819,1.946
1.956,1.904,1.904,1.907,1.864
1.904,1.91,1.904,1.903,1.901
1.926,1.984,1.899,1.938,1.978
1.936,1.903,1.915,1.932,2.014
1.937,1.949,1.898,1.952,1.869
1.916,1.961,1.953,1.954,1.939
1.867,1.898,1.929,1.953,1.952
1.939,1.918,1.925,1.912,1.945
1.94,1.88,1.882,1.949,1.91
1.944,1.919,1.84,1.94,1.942
1.933,1.965,2.031,1.902,1.923
1.817,1.878,1.938,2.058,1.938
1.939,1.956,1.951,1.898,1.969
1.931,1.894,1.972,1.936,1.924
1.927,1.895,1.938,1.859,1.938
1.973,1.949,1.912,1.87,1.971
